"Diplostraca","Rotifera","Cyclopoida","Calanoida","Cyclo_OV","Cala_OV","mes","est"
"0","0","27","674","1","97","7","LC-01"
"0","0","78","991","0","37","7","LC-02"
"1","0","14","179","0","12","7","LC-03"
"5","0","17","491","0","26","7","LC-04"
"3","0","15","158","1","15","7","LC-05"
"1","0","45","607","0","0","8","LC-01"
"8","4","68","36","0","4","8","LC-02"
"1","0","13","301","0","15","8","LC-03"
"1","1","32","690","0","59","8","LC-04"
"1","0","10","258","0","7","8","LC-05"
"0","0","1","1","0","0","9","LC-01"
"0","0","2","0","0","0","9","LC-02"
"0","9","20","4","2","6","9","LC-03"
"0","0","3","0","0","0","9","LC-04"
"0","0","25","0","5","0","9","LC-05"
