Clave,Descripción,unidad,
Temp_amb,Temperatura ambiental,°C,grados centígrados
Transparencia,Transparencia del agua,m,metros
Temp_agua,Tempertura del agua,°C,grados centígrados
Oxidacion,Oxidación,ppm,partes por millón
Conductividad,Conductividad,µho,microhmios
pH,pH LEMA,,adimensional
Sulfuros,Sulfuros,mg/l,miligramos por litro
pH_CEA,pH CEA,,adimensional
OD,Oxígeno disuelto,mg/l,miligramos por litro
Hierro,Hierro,mg/l,miligramos por litro
DQO,Demanda química de oxígeno,mg/l,miligramos por litro
DBO,Demanda bioquímica de oxígeno,mg/l,miligramos por litro
Colif_Fecales,Coliformes fecales,NMP/100ml,número más probable por 100 mililitros
Colif_Totales,Coliformes totales,NMP/100ml,número más probable por 100 mililitros
SST,Sólidos suspendidos totales,mg/l,miligramos por litro
Alc_Total,Alcalinidad total,mg CaCO3/l,miligramos de Carbonato de Calcio por litro
Cl_Total,Cloruros totales,mg/l,miligramos por litro
Cond_CEA,Conductividad CEA,µS/cm,microsiemens por centímetro
Dureza,Dureza Total,mg CaCO3/l,miligramos de Carbonato de Calcio por litro
Fl,Fluoruros,mg/l,miligramos por litro
P_Total,Fósforo total,mg/l,miligramos por litro
Nitratos,Nitrógeno de nitratos,mg/l,miligramos por litro
Nitritos,Nitrógeno de nitritos,mg/l,miligramos por litro
N_total,Nitrógeno total,,sin unidad
SDT,Sólidos disueltos totales,mg/l,miligramos por litro
SS,Sólidos sedimentables,ml/l,miligramos por litro
Solidos_Totales,Sólidos totales,,sin unidad
Sulfatos,Sulfatos,mg/l,miligramos por litro
Al,Aluminio,mg/l,miligramos por litro
As,Arsénico,mg/l,miligramos por litro
Ba,Bario,mg/l,miligramos por litro
Cu,Cobre,mg/l,miligramos por litro
Mn,Manganeso,mg/l,miligramos por litro
Pb,Plomo,mg/l,miligramos por litro
Na,Sodio,mg/l,miligramos por litro
Zn,Zinc,mg/l,miligramos por litro
Turbiedad,Turbiedad,UNT,unidades nefelométricas de turbidez
